tech,years_from_now
battery_2,0
battery_4,0
battery_6,0
battery_8,0
battery_10,0
battery_12,0
battery_24,0
battery_48,0
battery_72,0
battery_100,0
biopower,0
beccs_mod,0
beccs_max,0
caes,0
can-imports,500
coal-CCS_mod,0
coal-CCS_max,0
coal-CCS-F1*coal-CCS-F3,0
Coal-IGCC,0
coal-new,0
CoalOldScr,500
CoalOldUns,500
CofireNew,0
CofireOld,500
csp1_1*csp1_12,0
csp2_1*csp2_12,0
csp3_1*csp3_12,0
csp4_1*csp4_12,0
dr1_1*dr1_20,0
dr2_1*dr2_20,0
evmc_storage_1*evmc_storage_10,0
evmc_shape_1*evmc_shape_10,0
egs_allkm_1*egs_allkm_10,0
distpv,0
dupv_1*dupv_10,0
Gas-CC,0
Gas-CC-CCS_mod,0
Gas-CC-CCS_max,0
Gas-CC-CCS-F1*Gas-CC-CCS-F3,0
Gas-CT,0
H2-CT,0
H2-CC,0
geohydro_allkm_1*geohydro_allkm_10,0
geothermal,0
pvb1_1*pvb1_10,0
pvb2_1*pvb2_10,0
pvb3_1*pvb3_10,0
hydD,0
hydED,0
hydEND,0
hydND,0
hydNPD,0
hydNPND,0
Hydro,0
hydSD,0
hydSND,0
hydUD,0
hydUND,0
ice,0
lfill-gas,500
MHKwave,0
egs_nearfield_1*egs_nearfield_10,0
Nuclear,0
Nuclear-SMR,0
Ocean,500
o-g-s,500
pumped-hydro,0
pumped-hydro-flex,0
upv_1*upv_10,0
wind-ofs_1*wind-ofs_10,0
wind-ons_1*wind-ons_10,0
electrolyzer,0
smr,0
smr_ccs,0
dac,0
dac_gas,0
